0	19	4	24
1	14	15	1
2	21	18	25
3	1	8	16
4	8	23	14
5	15	6	20
6	15	9	3
7	11	7	20
8	14	24	11
9	4	22	6
10	17	24	9
11	23	20	17
12	13	2	20
13	7	15	17
14	9	7	18
15	19	25	24
16	24	3	15
17	21	0	9
18	16	8	23
19	6	22	20
20	20	3	14
21	16	5	7
22	25	11	23
23	12	6	19
24	2	11	25
25	3	10	13
26	2	1	10
27	1	14	8
28	2	0	24
29	9	4	23
30	13	1	22
31	25	20	17
32	24	8	20
33	9	22	25
34	0	16	15
35	16	3	13
36	5	20	24
37	17	8	22
38	4	20	17
39	14	8	9
40	20	9	6
41	18	3	2
42	11	9	21
43	3	2	16
44	10	22	21
45	11	12	5
46	8	6	16
47	2	25	13
48	19	17	20
49	24	19	23
50	3	4	22
51	0	22	3
52	25	6	23
53	13	24	19
54	9	22	23
55	20	21	7
56	5	16	14
57	6	20	21
58	17	23	25
59	14	19	22
60	8	1	5
61	9	7	25
62	8	10	18
63	5	0	4
64	14	17	5
65	15	1	4
66	17	21	20
67	25	1	19
68	19	25	18
69	9	21	16
70	24	22	8
71	16	22	3
72	6	20	22
73	12	19	25
74	17	24	16
75	1	9	16
76	25	1	23
77	17	12	8
78	12	22	18
79	17	24	23
80	5	11	7
81	2	12	10
82	8	10	18
83	22	16	8
84	19	4	24
85	4	25	20
86	23	20	15
87	12	14	23
88	5	25	9
89	8	21	9
90	20	18	8
91	1	10	18
92	0	10	21
93	10	11	22
94	7	18	6
95	2	16	22
96	8	2	16
97	3	6	20
98	5	14	6
99	19	7	1
100	22	0	14
101	6	11	23
102	4	11	9
103	10	3	15
104	17	19	10
105	12	18	1
106	6	4	1
107	23	24	11
108	22	17	15
109	4	11	14
110	10	3	6
111	5	22	24
112	3	15	24
113	17	10	25
114	6	22	14
115	18	4	2
116	8	11	9
117	10	25	9
118	14	9	6
119	20	8	17
120	11	7	25
121	7	3	11
122	1	15	3
123	15	22	17
124	19	13	24
125	3	10	20
126	21	11	15
127	14	2	1
128	7	2	3
129	5	6	1
130	13	20	24
131	7	4	23
132	17	11	24
133	14	13	17
134	4	12	9
135	4	7	11
136	8	12	25
137	25	2	10
138	13	11	25
139	9	3	23
140	15	18	12
141	12	9	2
142	7	21	15
143	5	19	1
144	3	23	17
145	8	7	15
146	15	14	6
147	17	6	8
148	9	19	10
149	10	21	9
150	25	4	3
151	16	12	4
152	4	15	19
153	3	21	17
154	4	22	2
155	23	3	16
156	5	22	8
157	4	12	17
158	23	9	18
159	9	7	8
160	5	13	9
161	19	23	24
162	12	3	7
163	25	24	18
164	12	10	2
165	25	18	7
166	25	11	6
167	9	25	1
168	19	8	21
169	24	9	17
170	13	25	4
171	16	18	23
172	2	18	7
173	25	8	9
174	20	1	10
175	9	5	22
176	5	9	2
177	1	21	4
178	16	13	17
179	19	4	13
180	20	25	14
181	0	10	11
182	7	15	6
183	11	16	7
184	1	4	23
185	2	13	9
186	18	15	25
187	24	8	14
188	8	25	17
189	10	17	8
190	16	9	18
191	21	10	4
192	25	2	0
193	20	14	16
194	5	8	25
195	3	8	9
196	8	17	25
197	9	10	15
198	23	22	18
199	14	7	8
200	19	11	24
201	19	15	23
202	24	22	20
203	9	25	0
204	4	16	20
205	18	9	17
206	20	12	15
207	1	2	7
208	2	6	0
