0	16	2	7
1	13	16	30
2	40	24	30
3	30	27	8
4	7	29	22
5	32	2	9
6	21	17	16
7	8	19	32
8	39	7	10
9	31	23	6
10	9	32	25
11	22	23	3
12	2	36	16
13	22	6	0
14	4	26	22
15	6	28	20
16	39	19	13
17	13	23	33
18	36	37	26
19	15	6	16
20	34	8	35
21	4	38	26
22	23	30	6
23	33	27	32
24	4	1	31
25	36	2	5
26	3	8	23
27	21	32	28
28	4	8	25
29	27	4	28
30	29	26	23
31	24	29	16
32	23	2	33
33	10	15	32
34	18	30	3
35	7	10	21
36	12	15	4
37	14	29	35
38	37	23	24
39	38	35	30
40	27	10	5
41	16	19	2
42	18	32	37
43	5	36	40
44	34	36	22
45	6	19	32
46	1	30	2
47	36	32	1
48	40	26	2
49	38	5	4
50	12	23	38
51	29	17	6
52	12	5	7
53	8	39	14
54	16	30	34
55	0	37	17
56	2	9	13
57	40	1	21
58	17	34	22
59	35	25	33
60	30	38	4
61	39	16	38
62	11	17	34
63	31	13	26
64	10	18	12
65	17	36	24
66	1	8	14
67	13	35	14
68	36	11	18
69	27	35	14
70	25	8	1
71	27	15	26
72	21	10	26
73	21	12	11
74	27	20	29
75	10	35	19
76	16	23	18
77	27	22	3
78	6	33	8
79	1	39	5
80	0	33	15
81	3	7	14
82	6	14	21
83	13	25	30
84	4	11	29
85	2	20	0
86	1	31	2
87	40	34	6
88	13	10	8
89	4	20	15
90	5	35	25
91	24	31	37
92	11	40	24
93	14	11	7
94	17	18	35
95	2	18	19
96	19	39	6
97	26	34	21
98	16	38	39
99	30	31	32
100	32	37	38
101	31	19	18
102	40	3	5
103	6	22	35
104	40	16	30
105	25	0	29
106	30	15	38
107	10	11	7
108	31	21	33
109	5	27	20
110	35	3	0
111	7	34	20
112	13	39	38
113	10	1	8
114	11	27	8
115	39	31	29
116	9	5	37
117	20	37	4
118	34	16	0
119	6	36	15
120	11	29	17
121	25	20	3
122	7	8	5
123	30	10	21
124	17	2	32
125	7	16	15
126	10	4	20
127	20	37	35
128	16	15	17
129	7	27	26
130	15	33	9
131	29	15	32
132	32	15	23
133	7	6	26
134	17	2	23
135	30	38	22
136	15	27	7
137	34	26	4
138	7	25	24
139	37	22	33
140	35	5	29
141	34	10	20
142	38	32	23
143	20	15	5
144	33	28	30
145	9	35	21
146	37	18	32
147	37	12	5
148	37	2	5
149	2	38	14
150	22	8	4
151	11	13	28
152	9	20	40
153	28	7	20
154	3	27	24
155	33	3	6
156	28	26	27
157	18	20	12
158	10	4	31
159	15	22	11
160	32	25	0
161	37	28	34
162	10	3	0
163	2	35	36
164	40	24	36
165	4	32	37
166	39	14	27
167	35	16	12
168	17	33	29
169	12	40	21
170	7	24	35
171	24	18	36
172	7	21	28
173	27	28	38
174	0	23	19
175	1	27	35
176	22	33	34
177	3	35	5
178	36	40	22
179	33	12	18
180	31	32	28
181	10	3	33
182	10	2	28
183	2	3	19
184	7	35	26
185	15	6	24
186	9	40	38
187	25	9	1
188	11	4	15
189	20	2	6
190	27	38	5
191	19	13	34
192	4	40	16
193	4	2	3
194	37	5	14
195	39	17	40
196	36	24	16
197	31	20	7
198	39	17	7
199	5	18	4
200	36	35	7
201	17	15	27
202	36	19	17
203	21	40	17
204	38	9	0
205	40	11	35
206	5	13	26
207	33	12	32
208	28	7	27
209	27	39	15
210	10	5	28
