0	10	20	4
1	1	14	19
2	5	10	17
3	17	8	2
4	9	3	20
5	0	8	13
6	16	2	14
7	9	1	7
8	6	12	4
9	7	10	11
10	6	2	13
11	6	4	19
12	0	17	1
13	12	13	9
14	10	13	9
15	11	19	20
16	15	8	2
17	6	17	8
18	15	18	13
19	7	13	2
20	6	9	13
21	14	17	3
22	19	0	16
23	17	19	15
24	10	9	1
25	11	18	15
26	18	5	17
27	10	17	12
28	13	5	11
29	18	13	16
30	10	8	2
31	6	10	12
32	5	20	17
33	1	6	16
34	14	20	13
35	12	13	15
36	19	6	16
37	5	17	11
38	20	1	13
39	6	0	12
40	11	19	15
41	0	11	12
42	11	19	6
43	13	17	12
44	7	11	6
45	5	8	3
46	7	19	9
47	17	18	10
48	14	17	2
49	3	20	1
50	12	16	20
51	7	17	5
52	10	3	2
53	18	16	15
54	10	0	6
55	8	20	9
56	20	6	14
57	1	4	11
58	11	15	12
59	20	9	11
60	2	20	13
61	0	9	3
62	20	3	14
63	20	4	16
64	9	17	2
65	2	19	4
66	14	4	20
67	2	13	4
68	19	13	5
69	10	9	12
70	3	20	16
71	5	3	19
72	17	5	20
73	2	14	0
74	18	2	20
75	5	16	2
76	15	8	2
77	15	12	3
78	10	18	3
79	17	19	16
80	12	1	19
81	14	6	18
82	7	18	1
83	10	3	12
84	5	3	9
85	19	7	8
86	14	20	18
87	17	9	6
88	4	7	19
89	2	7	15
90	15	8	13
91	5	2	7
92	12	4	14
93	14	20	7
94	18	19	13
95	18	6	5
96	13	6	11
97	3	10	16
98	7	1	2
99	16	9	13
100	9	12	4
101	3	10	19
102	14	5	11
103	13	0	2
104	15	11	1
105	19	16	8
106	17	5	2
107	7	4	10
108	20	15	18
109	5	19	9
110	16	15	1
111	10	5	17
112	19	1	13
113	9	7	4
114	6	1	18
115	0	13	5
116	20	19	1
117	11	9	10
118	10	8	7
119	4	19	0
120	18	15	5
121	6	4	15
122	19	1	18
123	1	8	20
124	1	12	2
125	7	20	16
126	18	16	13
127	5	13	9
128	0	15	3
129	5	3	18
130	19	13	11
131	16	13	17
132	19	1	0
133	0	1	20
134	10	19	12
135	8	6	11
136	19	8	6
137	16	1	13
138	20	9	12
139	20	16	13
140	13	5	17
141	8	17	14
142	3	12	9
143	6	20	13
144	5	12	8
145	1	15	7
146	6	12	2
147	13	19	3
148	15	20	6
149	16	8	0
150	4	18	14
151	1	8	13
152	14	20	15
153	12	1	3
154	14	13	1
155	12	20	19
156	15	17	5
157	7	16	9
158	16	4	1
159	19	18	3
160	19	2	17
161	2	9	18
162	20	17	5
163	18	12	11
164	4	16	3
165	16	11	9
166	17	13	9
167	3	4	14
168	5	16	7
169	1	15	0
170	10	4	6
171	8	11	19
172	15	5	20
173	7	8	17
174	3	2	10
175	13	1	7
176	8	19	20
177	0	13	18
178	19	5	6
179	13	16	8
180	3	19	15
181	1	0	7
182	20	14	15
183	7	8	12
184	10	17	5
185	6	3	1
186	7	16	20
187	0	11	12
188	11	18	17
189	1	0	17
190	8	11	19
191	12	1	5
192	3	17	13
193	13	15	20
194	6	13	15
195	4	5	7
196	8	11	16
197	19	13	1
